transaction_id,items
1,"Bread, Jam, Butter, Diapers, Beer"
2,"Biscuits, Milk, Eggs, Butter"
3,"Bread, Biscuits, Cheese, Butter, Diapers"
4,"Milk, Chips, Jam"
5,"Bread, Butter"
6,"Milk, Eggs, Butter"
7,"Cheese, Milk, Butter"
8,"Milk, Eggs, Diapers, Chips, Beer"
9,"Diapers, Beer"
10,"Bread, Milk, Eggs, Butter"
11,"Bread, Milk, Biscuits, Eggs, Butter"
12,"Biscuits, Milk, Diapers, Beer"
13,"Bread, Milk, Eggs, Butter"
14,"Bread, Milk, Cheese, Butter, Diapers, Beer"
15,Eggs
16,"Milk, Butter, Diapers, Chips, Beer"
17,"Cheese, Beer, Milk, Butter"
18,"Bread, Jam, Butter"
19,"Bread, Jam, Butter, Cheese"
20,"Bread, Milk, Biscuits, Eggs, Butter, Cheese"
21,"Diapers, Beer"
22,"Biscuits, Diapers"
23,"Bread, Beer"
24,"Biscuits, Bread, Milk, Diapers"
25,"Bread, Butter"
26,"Diapers, Beer"
27,"Cheese, Jam, Butter"
28,"Bread, Milk, Jam, Beer"
29,"Jam, Cheese"
30,"Milk, Eggs"
31,"Biscuits, Chips, Cheese"
32,"Bread, Diapers, Cheese"
33,"Biscuits, Bread, Cheese"
34,Cheese
35,"Bread, Milk, Biscuits, Eggs, Jam, Butter, Diapers, Beer"
36,"Bread, Cheese"
37,"Biscuits, Bread, Milk"
38,"Cheese, Beer"
39,"Bread, Butter"
40,"Cheese, Jam, Butter"
41,"Bread, Milk, Jam, Butter, Cheese"
42,"Butter, Beer"
43,"Bread, Jam, Eggs, Diapers, Beer"
44,"Bread, Eggs, Jam, Butter, Diapers, Beer"
45,"Chips, Eggs"
46,"Biscuits, Chips"
47,"Beer, Cheese"
48,"Jam, Cheese"
49,"Biscuits, Milk, Butter"
50,"Biscuits, Bread, Butter"
51,"Bread, Milk, Cheese"
52,"Jam, Cheese"
53,"Milk, Eggs, Butter"
54,"Biscuits, Jam"
55,"Milk, Biscuits, Jam, Cheese, Chips"
56,"Bread, Milk, Biscuits, Eggs, Butter, Cheese, Chips"
57,"Bread, Milk, Biscuits, Eggs, Butter"
58,"Biscuits, Butter, Diapers, Chips, Beer"
59,"Bread, Beer"
60,"Bread, Milk, Jam, Butter, Chips"
61,"Diapers, Beer"
